,stormid,year,month,day,hour,llon,ulon,llat,ulat,centlon,centlat,area,mean_olr
57,1536463.0,1999,6,8,0,361.03522,361.88574,8.562752,10.020752,361.88574,10.020752,7200,0.002282
58,1536972.0,1999,6,8,0,349.85724,352.16574,11.11425,12.57225,352.16574,12.57225,12816,0.002395
59,1529662.0,1999,6,8,0,347.67023,349.24973,12.693752,13.422752,349.24973,13.422752,5472,0.001366
60,1539868.0,1999,6,9,0,345.84775,346.94122,9.534752,10.38525,346.94122,10.38525,5760,0.001213
61,1542572.0,1999,6,9,0,367.71774,368.81122,9.65625,10.749752,368.81122,10.749752,7200,0.002757
62,1543359.0,1999,6,9,0,348.27774,350.22174,13.908752,14.637753,350.22174,14.637753,5472,0.001496
63,1538585.0,1999,6,9,0,348.03473,349.85724,11.721752,12.81525,349.85724,12.81525,12528,0.001653
64,1542470.0,1999,6,9,0,348.27774,350.70773,8.68425,10.62825,350.70773,10.62825,20592,0.001951
65,1545808.0,1999,6,9,0,348.88522,349.73572,9.89925,10.87125,349.73572,10.87125,5328,0.001996
66,1539169.0,1999,6,9,0,346.33374,348.15622,11.11425,11.964752,348.15622,11.964752,7632,0.001135
67,1538699.0,1999,6,9,0,346.69824,350.10022,10.14225,11.60025,350.10022,11.60025,20592,0.001899
68,1537802.0,1999,6,9,0,350.34323,351.80124,9.534752,10.14225,351.80124,10.14225,5040,0.002219
69,1551794.0,1999,6,10,0,373.67123,374.52173,9.534752,10.992752,374.52173,10.992752,7920,0.001867
70,1552397.0,1999,6,10,0,369.41873,370.51224,9.41325,10.020752,370.51224,10.020752,5904,0.001493
71,1547067.0,1999,6,10,0,370.26923,374.15723,6.1327515,10.62825,374.15723,10.62825,62784,0.002173
72,1551801.0,1999,6,10,0,372.82074,374.88623,12.08625,13.30125,374.88623,13.30125,14976,0.001636
73,1546894.0,1999,6,10,0,346.21222,348.15622,9.291752,10.749752,348.15622,10.749752,14976,0.002277
74,1552512.0,1999,6,10,0,353.25925,354.35272,10.749752,11.721752,354.35272,11.721752,5472,0.002252
75,1553409.0,1999,6,10,0,354.96024,355.81073,12.08625,12.936752,355.81073,12.936752,5760,0.001623
76,1552856.0,1999,6,10,0,361.64273,362.61475,10.38525,10.992752,362.61475,10.992752,5328,0.002974
77,1552078.0,1999,6,10,0,345.24023,346.94122,10.87125,11.478752,346.94122,11.478752,6048,0.001044
78,1553654.0,1999,6,10,0,352.28723,353.13773,10.263752,11.60025,353.13773,11.60025,9936,0.002305
79,1553097.0,1999,6,10,0,348.39923,350.82922,8.562752,10.14225,350.82922,10.14225,18288,0.002884
80,1547928.0,1999,6,10,0,345.84775,347.06274,9.89925,10.992752,347.06274,10.992752,9648,0.002310
81,1556283.0,1999,6,11,0,347.30573,349.00674,11.721752,12.57225,349.00674,12.57225,5472,0.001180
82,1558938.0,1999,6,11,0,360.06323,362.49323,11.84325,12.57225,362.49323,12.57225,6912,0.001971
83,1559359.0,1999,6,11,0,365.77374,367.83923,11.964752,13.05825,367.83923,13.05825,7488,0.001846
84,1558964.0,1999,6,11,0,366.01672,367.71774,10.87125,11.478752,367.71774,11.478752,6192,0.001947
85,1559311.0,1999,6,11,0,351.80124,353.01624,9.291752,10.14225,353.01624,10.14225,5184,0.001948
86,1560487.0,1999,6,11,0,366.98874,367.96072,10.020752,10.87125,367.96072,10.87125,5184,0.001336
87,1566602.0,1999,6,12,0,372.09174,373.30673,10.14225,11.478752,373.30673,11.478752,7344,0.001363
88,1566614.0,1999,6,12,0,372.82074,373.79272,9.048752,10.020752,373.79272,10.020752,6912,0.002224
89,1568932.0,1999,6,12,0,372.82074,374.88623,9.89925,11.11425,374.88623,11.11425,5616,0.001273
90,1577070.0,1999,6,13,0,350.10022,351.43674,14.3947525,15.245251,351.43674,15.245251,5040,0.001636
91,1578665.0,1999,6,13,0,347.54874,348.64224,11.35725,11.964752,348.64224,11.964752,5184,0.001642
92,1577644.0,1999,6,13,0,349.12823,350.95074,12.207752,12.81525,350.95074,12.81525,6336,0.001516
93,1577676.0,1999,6,13,0,353.25925,355.20325,12.81525,13.5442505,355.20325,13.5442505,6192,0.001867
94,1578683.0,1999,6,13,0,348.39923,349.97873,13.05825,14.273251,349.97873,14.273251,9504,0.001971
95,1577665.0,1999,6,13,0,350.34323,351.31525,11.60025,12.207752,351.31525,12.207752,5472,0.002254
96,1581079.0,1999,6,13,0,353.86673,355.32474,11.478752,12.693752,355.32474,12.693752,9072,0.002269
