,stormid,year,month,day,hour,llon,ulon,llat,ulat,centlon,centlat,area,mean_olr
8939,11180002.0,2001,7,3,0,353.01624,354.96024,16.21725,17.79675,354.96024,17.79675,18864,0.002575
8940,11179365.0,2001,7,2,0,356.53973,359.45572,15.002251,17.432251,359.45572,17.432251,12816,0.002138
8941,11179348.0,2001,7,2,0,348.39923,349.85724,11.478752,12.32925,349.85724,12.32925,5184,0.001936
8942,11179973.0,2001,7,2,0,349.73572,351.43674,13.05825,13.7872505,351.43674,13.7872505,5184,0.001548
8943,11182804.0,2001,7,3,0,349.12823,350.70773,14.273251,15.002251,350.70773,15.002251,7056,0.003528
8944,11180692.0,2001,7,2,0,351.19373,352.16574,14.637753,15.488251,352.16574,15.488251,5184,0.002433
8945,11185813.0,2001,7,3,0,346.69824,348.27774,10.14225,11.35725,348.27774,11.35725,8496,0.003657
8946,11185582.0,2001,7,3,0,358.84824,361.27823,15.002251,15.731251,361.27823,15.731251,11376,0.002776
8947,11182652.0,2001,7,3,0,344.99722,346.45523,9.291752,10.14225,346.45523,10.14225,6912,0.003242
8948,11186355.0,2001,7,3,0,345.72623,347.06274,9.89925,10.62825,347.06274,10.62825,6192,0.002717
8949,11184468.0,2001,7,3,0,352.28723,354.23123,11.11425,11.721752,354.23123,11.721752,5760,0.002218
8950,11186357.0,2001,7,3,0,348.27774,349.49274,10.020752,10.992752,349.49274,10.992752,6768,0.003947
8951,11186761.0,2001,7,3,0,357.99774,359.33423,14.759251,15.366753,359.33423,15.366753,6336,0.003007
8952,11184777.0,2001,7,3,0,347.79175,349.12823,10.263752,11.478752,349.12823,11.478752,6912,0.003160
8953,11187332.0,2001,7,4,0,346.81973,349.12823,9.777752,10.749752,349.12823,10.749752,12816,0.002971
8954,11187153.0,2001,7,4,0,343.53925,346.33374,9.291752,10.14225,346.33374,10.14225,9216,0.005458
8955,11190738.0,2001,7,5,0,354.35272,356.05374,11.721752,13.422752,356.05374,13.422752,15408,0.003002
8956,11189651.0,2001,7,5,0,363.70822,365.89523,7.3477516,10.87125,365.89523,10.87125,43344,0.003775
8957,11188223.0,2001,7,4,0,343.78223,345.84775,10.749752,11.84325,345.84775,11.84325,11232,0.003080
8958,11192897.0,2001,7,5,0,352.16574,353.62372,12.32925,13.30125,353.62372,13.30125,6048,0.001416
8959,11188225.0,2001,7,4,0,348.15622,349.00674,9.291752,10.14225,349.00674,10.14225,5904,0.002983
8960,11193178.0,2001,7,5,0,351.67975,352.53024,12.450752,13.179752,352.53024,13.179752,5760,0.001308
8961,11178748.0,2001,7,4,0,370.39075,373.91425,5.2822495,10.992752,373.91425,10.992752,91872,0.002755
8962,11189560.0,2001,7,4,0,344.26822,345.96924,9.41325,11.35725,345.96924,11.35725,18000,0.003217
8963,11191212.0,2001,7,4,0,346.69824,347.91324,11.35725,12.207752,347.91324,12.207752,5184,0.002435
8964,11192369.0,2001,7,4,0,355.08173,355.93222,11.721752,12.450752,355.93222,12.450752,5184,0.001989
8965,11193423.0,2001,7,5,0,351.19373,352.28723,12.32925,13.179752,352.28723,13.179752,6912,0.001144
8966,11193184.0,2001,7,5,0,353.50223,355.44623,9.41325,10.14225,355.44623,10.14225,6192,0.004672
8967,11193706.0,2001,7,5,0,350.70773,351.80124,12.207752,13.05825,351.80124,13.05825,6048,0.001032
8968,11198189.0,2001,7,5,0,365.53073,369.29724,13.908752,16.581753,369.29724,16.581753,45072,0.003345
8969,11195875.0,2001,7,5,0,370.51224,373.54974,13.30125,15.609753,373.54974,15.609753,25776,0.002301
8970,11195521.0,2001,7,5,0,350.10022,351.31525,9.777752,10.506752,351.31525,10.506752,5904,0.002002
8971,11195553.0,2001,7,5,0,367.71774,369.05423,11.235752,12.08625,369.05423,12.08625,6336,0.002994
8972,11195896.0,2001,7,5,0,373.54974,374.52173,16.46025,17.918251,374.52173,17.918251,7344,0.001972
8973,11196860.0,2001,7,5,0,371.84872,373.30673,15.731251,16.70325,373.30673,16.70325,5760,0.003214
8974,11195814.0,2001,7,5,0,345.60474,347.06274,9.048752,10.14225,347.06274,10.14225,7920,0.004059
8975,11196196.0,2001,7,5,0,368.08224,369.90472,12.207752,12.693752,369.90472,12.693752,5184,0.002726
8976,11196945.0,2001,7,5,0,366.74573,367.96072,16.46025,17.18925,367.96072,17.18925,5472,0.002811
8977,11198275.0,2001,7,5,0,365.89523,367.47473,16.338753,17.55375,367.47473,17.55375,10512,0.003123
8978,11203768.0,2001,7,7,0,351.19373,353.50223,7.2262497,10.992752,353.50223,10.992752,31680,0.003134
8979,11202735.0,2001,7,7,0,353.50223,355.32474,14.273251,15.609753,355.32474,15.609753,14544,0.002870
8980,11204102.0,2001,7,7,0,368.56824,370.51224,10.14225,11.235752,370.51224,11.235752,12240,0.001877
8981,11200173.0,2001,7,6,0,362.37173,363.70822,13.908752,14.759251,363.70822,14.759251,6480,0.003425
8982,11201940.0,2001,7,6,0,358.11923,359.94174,12.936752,14.273251,359.94174,14.273251,12384,0.001704
8983,11202400.0,2001,7,6,0,371.60574,374.40024,12.08625,12.81525,374.40024,12.81525,12960,0.003761
8984,11200777.0,2001,7,6,0,360.18472,361.27823,16.70325,17.675251,361.27823,17.675251,6048,0.001426
8985,11201377.0,2001,7,6,0,356.17523,357.87622,10.14225,11.235752,357.87622,11.235752,7056,0.002688
8986,11202717.0,2001,7,6,0,354.23123,355.20325,11.235752,12.08625,355.20325,12.08625,5184,0.003751
8987,11206510.0,2001,7,7,0,349.12823,350.58624,9.17025,11.235752,350.58624,11.235752,13104,0.001681
8988,11205663.0,2001,7,7,0,352.16574,354.10974,16.70325,17.432251,354.10974,17.432251,7632,0.001900
8989,11202737.0,2001,7,6,0,356.53973,358.11923,13.908752,14.637753,358.11923,14.637753,7776,0.002867
8990,11204068.0,2001,7,6,0,355.93222,357.14725,12.81525,14.3947525,357.14725,14.3947525,8496,0.003076
8991,11205811.0,2001,7,7,0,351.31525,353.13773,9.41325,10.992752,353.13773,10.992752,12672,0.003266
8992,11207869.0,2001,7,7,0,351.67975,353.25925,14.030251,14.880753,353.25925,14.880753,5904,0.003519
8993,11208190.0,2001,7,7,0,350.34323,351.67975,12.936752,13.665752,351.67975,13.665752,5040,0.002992
8994,11212571.0,2001,7,8,0,344.26822,346.81973,11.60025,14.516251,346.81973,14.516251,34560,0.001935
8995,11208518.0,2001,7,7,0,349.61423,351.67975,12.32925,12.81525,351.67975,12.81525,5472,0.002412
8996,11212851.0,2001,7,8,0,344.02524,345.11874,11.84325,12.450752,345.11874,12.450752,5040,0.000981
8997,11208822.0,2001,7,7,0,346.57672,347.54874,10.992752,11.721752,347.54874,11.721752,5184,0.003482
8998,11209735.0,2001,7,7,0,348.76373,350.46472,14.030251,14.516251,350.46472,14.516251,6480,0.002543
8999,11216850.0,2001,7,9,0,349.97873,350.95074,15.002251,15.974251,350.95074,15.974251,5904,0.002593
9000,11214262.0,2001,7,8,0,344.63272,346.33374,9.17025,10.38525,346.33374,10.38525,9216,0.001532
9001,11215789.0,2001,7,8,0,366.98874,367.96072,9.17025,10.020752,367.96072,10.020752,5760,0.001507
9002,11214567.0,2001,7,8,0,368.44672,370.75525,9.534752,10.62825,370.75525,10.62825,7920,0.002111
9003,11216234.0,2001,7,8,0,369.66174,370.99823,11.235752,11.721752,370.99823,11.721752,5616,0.001905
9004,11223383.0,2001,7,10,0,351.55823,352.53024,10.14225,11.11425,352.53024,11.11425,7056,0.002230
9005,11220426.0,2001,7,10,0,359.09125,360.79224,12.450752,13.908752,360.79224,13.908752,12816,0.001452
9006,11223156.0,2001,7,10,0,369.29724,370.99823,10.992752,13.30125,370.99823,13.30125,17280,0.003133
9007,11223113.0,2001,7,10,0,344.02524,345.11874,9.89925,10.62825,345.11874,10.62825,5184,0.001857
9008,11220739.0,2001,7,9,0,348.64224,350.46472,10.87125,11.60025,350.46472,11.60025,5472,0.003588
9009,11220098.0,2001,7,9,0,372.82074,374.64325,13.5442505,15.002251,374.64325,15.002251,15264,0.002116
9010,11222914.0,2001,7,10,0,370.39075,371.11972,9.65625,10.38525,371.11972,10.38525,5040,0.001596
9011,11222580.0,2001,7,9,0,349.73572,351.67975,11.35725,11.721752,351.67975,11.721752,6912,0.001836
9012,11221129.0,2001,7,9,0,353.38074,355.32474,10.62825,11.11425,355.32474,11.11425,6048,0.001941
9013,11221519.0,2001,7,9,0,355.56775,356.66122,11.11425,11.721752,356.66122,11.721752,5472,0.001899
9014,11227968.0,2001,7,10,0,350.22174,351.55823,11.721752,13.179752,351.55823,13.179752,17136,0.003163
9015,11226769.0,2001,7,10,0,352.77322,353.98822,11.11425,12.693752,353.98822,12.693752,8640,0.002307
9016,11227060.0,2001,7,10,0,355.93222,357.14725,15.002251,15.852753,357.14725,15.852753,5040,0.001286
9017,11226816.0,2001,7,10,0,373.54974,374.64325,9.65625,10.506752,374.64325,10.506752,5472,0.001832
9018,11227102.0,2001,7,10,0,370.87674,372.33472,10.506752,10.87125,372.33472,10.87125,5328,0.002668
9019,11226248.0,2001,7,11,0,368.32523,374.76474,5.4037514,10.749752,374.76474,10.749752,110736,0.002891
9020,11234156.0,2001,7,12,0,349.49274,350.82922,15.609753,16.824749,350.82922,16.824749,8640,0.002145
9021,11235441.0,2001,7,12,0,358.96973,361.03522,10.506752,12.936752,361.03522,12.936752,26064,0.003521
9022,11234403.0,2001,7,12,0,363.95123,365.40924,14.273251,16.70325,365.40924,16.70325,23616,0.003488
9023,11230325.0,2001,7,11,0,347.06274,348.03473,9.65625,10.62825,348.03473,10.62825,5472,0.004828
9024,11233021.0,2001,7,12,0,358.11923,361.27823,15.366753,17.55375,361.27823,17.55375,31968,0.002602
9025,11231297.0,2001,7,11,0,345.36172,348.76373,6.7402496,10.263752,348.76373,10.263752,47520,0.003070
9026,11233548.0,2001,7,11,0,364.07272,365.53073,11.235752,12.936752,365.53073,12.936752,16992,0.003654
9027,11232427.0,2001,7,11,0,369.05423,370.02625,16.824749,17.55375,370.02625,17.55375,6192,0.001272
9028,11233804.0,2001,7,11,0,344.99722,347.18423,9.17025,10.87125,347.18423,10.87125,14832,0.002726
9029,11232685.0,2001,7,11,0,349.00674,350.22174,11.235752,11.964752,350.22174,11.964752,5328,0.003164
9030,11232991.0,2001,7,11,0,352.65173,353.62372,15.002251,16.095753,353.62372,16.095753,5904,0.001565
9031,11234050.0,2001,7,11,0,344.99722,345.96924,10.14225,10.992752,345.96924,10.992752,5184,0.003279
